query,total_ms,prop_w1,prop_w2,prop_coord
Q17,254.531,0.0144,0.0000,0.9856
Q17,398.831,0.0052,0.0000,0.9948
Q17,232.169,0.0185,0.0000,0.9815
Q17,320.568,0.0074,0.0000,0.9926
Q17,290.634,0.0069,0.0000,0.9931
Q17,243.337,0.0080,0.0000,0.9920
Q17,340.350,0.0059,0.0000,0.9941
Q17,223.896,0.0211,0.0000,0.9789
Q18,649.943,0.3444,0.0000,0.6556
Q18,684.243,0.6003,0.0000,0.3997
Q18,655.600,0.5398,0.0000,0.4602
Q18,615.679,0.5353,0.0000,0.4647
Q18,611.866,0.5540,0.0000,0.4460
Q18,738.354,0.2961,0.0000,0.7039
Q18,681.942,0.5254,0.0000,0.4746
Q18,768.102,0.4591,0.0000,0.5409
Q18,1575.285,0.2400,0.0000,0.7600
Q18,1591.402,0.2629,0.0000,0.7371
Q19,6714.477,0.0000,0.0000,1.0000
Q19,8678.631,0.0000,0.0000,1.0000
Q19,7250.540,0.0000,0.0000,1.0000
Q19,9099.552,0.0000,0.0000,1.0000
Q19,5722.729,0.0000,0.0000,1.0000
Q19,9047.564,0.0000,0.0000,1.0000
Q19,5727.683,0.0000,0.0000,1.0000
Q19,8956.157,0.0000,0.0000,1.0000
Q19,6021.136,0.0000,0.0000,1.0000
Q19,8507.021,0.0000,0.0000,1.0000
Q20,553.231,0.0158,0.0000,0.9842
Q20,366.488,0.0263,0.0000,0.9737
Q20,361.858,0.0416,0.0000,0.9584
Q20,289.976,0.0490,0.0000,0.9510
Q20,344.961,0.0486,0.0000,0.9514
Q20,378.505,0.0360,0.0000,0.9640
Q20,375.723,0.0405,0.0000,0.9595
Q20,331.632,0.0457,0.0000,0.9543
Q20,506.902,0.0338,0.0000,0.9662
Q20,440.060,0.0335,0.0000,0.9665
Q21,788.262,0.5948,0.0000,0.4052
Q21,1248.436,0.4038,0.0000,0.5962
Q21,1351.703,0.3690,0.0000,0.6310
Q21,1501.858,0.3317,0.0000,0.6683
Q21,1161.549,0.4240,0.0000,0.5760
Q21,734.243,0.6527,0.0000,0.3473
Q21,759.917,0.6411,0.0000,0.3589
Q21,768.745,0.6831,0.0000,0.3169
Q21,757.809,0.6332,0.0000,0.3668
Q21,948.933,0.5007,0.0000,0.4993
Q22,472.762,0.2869,0.0000,0.7131
Q22,617.799,0.2252,0.0000,0.7748
Q22,409.841,0.0774,0.0000,0.9226
Q22,377.654,0.1210,0.0000,0.8790
Q22,474.444,0.2333,0.0000,0.7667
Q22,1076.694,0.1145,0.0000,0.8855
Q22,4045.514,0.0057,0.0000,0.9943
Q22,890.268,0.0355,0.0000,0.9645
Q22,425.074,0.0674,0.0000,0.9326
Q22,350.105,0.1023,0.0000,0.8977
