Consulta,Iteración,Tiempo,Manager,Worker1,Worker2
07,16,21736.337,0.6631690704886685,0.24716989662276756,1.1879755147640454
07,17,21872.928,0.465917427947682,0.7414517004458732,0.5099259573597974
07,18,20268.910,0.537178643623448,0.9602663694516117,0.595106951772736
07,19,20723.940,0.6569026140739228,0.6475693706427668,1.1698304078163697
07,20,21505.313,0.48716943510511806,0.23521671641321412,0.18710169858846828
07,21,21141.638,0.5711021452376968,1.0343169974943884,1.0047645781744718
07,22,19136.354,0.6421616560995602,0.7096850663705025,0.4459768969638282
07,23,19765.924,1.0155116005270706,0.4367552223026976,5.070972719080444
07,24,22703.237,0.880861548804673,0.9863437948340632,0.31024384317476605
07,25,19783.177,0.4972610081378051,0.45075685037162044,0.26266186801261426
07,26,20130.937,0.5916728539130601,0.4251530480789576,1.3834266384917417
07,27,21431.540,0.739127462858625,0.7652847069103067,4.975098709766158
07,28,18890.403,0.20965524276703984,0.15340578208767963,0.20407304314285402
07,29,19188.497,0.4865609914386275,0.4350565526334132,0.2444902831707413
07,30,21327.832,0.769089411730532,0.3546573985265169,0.19913059115826184
08,01,41461.750,1.144865755960291,3.3025829527988755,3.6374163480640007
08,02,41029.514,1.510867860473561,1.7207733605422355,2.6326343723990493
08,03,40031.345,2.175873427827079,8.171546072619865,2.654506063575643
08,04,39234.886,2.0357721706479586,7.427207581885614,7.214732568575295
08,05,41529.835,2.0939790620064977,7.403001509304415,2.7401778538320047
08,06,40867.479,1.4503812903191111,3.2428212775085514,2.033385959597329
08,07,43361.875,2.1555569192053996,1.75320728475671,1.06256928940969
08,08,41142.886,1.271456325972532,1.81434231010258,9.367853438427002
08,09,41196.236,1.91601884171914,10.563368255775162,5.299909376518612
08,10,40958.564,2.9199549558275972,0.8049541617470646,2.2738881774975193
08,11,41718.775,1.4904526782190657,2.321134099817778,3.1410488594198753
08,12,41519.957,2.586832391424375,7.1191546883040555,1.6753994728221193
08,13,40457.114,1.4964155750321737,0.5133425117828929,2.050400518046415
08,14,40028.459,2.1540112173149413,5.170463172817104,1.1407139195756923
08,15,40520.128,1.2909799613906479,1.9387223580482869,3.9208163488143377
08,16,40102.168,1.4308258047495264,15.070582473545603,2.3170755693726166
08,17,40373.477,2.4467847747627496,3.025807161694646,1.7353544217660624
08,18,42207.564,4.066520741704311,2.9457273173729535,9.678126870021403
08,19,41419.794,2.2496915744943884,2.188745008695062,4.833416067972385
08,20,43055.545,1.6857385502783664,2.5567025924606828,1.1052327060701403
08,21,40278.852,1.7345940544783476,2.3433638452283927,1.9801240173544854
08,22,41347.466,1.4965557011744035,4.754970971885589,3.5054777343077412
08,23,41367.092,1.685170033441194,2.062513146357389,1.5763659742804526
08,24,39407.762,1.4015665960441082,1.0038402120287415,10.96148339495404
08,25,41025.078,3.0750726981145258,21.332869347290526,1.512172168007868
08,26,39004.567,1.23016501705621,3.793530199776429,2.7925330146497305
08,27,40153.617,1.8538976693942602,5.5286284136835295,1.5090628352588302
08,28,38983.985,1.4104139984339166,2.943290849451001,9.072372682186383
08,29,42145.770,1.877635316986528,2.392661492890393,1.6273347282218624
08,30,38364.614,1.6622336074070303,7.025116212655808,5.402571513473946
09,01,64996.301,4.868440748953642,6.9297418475841415,41.03944145158825
09,02,66521.306,3.0834500624090855,7.634846276312789,5.313367697732174
09,03,67498.567,3.7635123491239404,21.296124802861016,31.993336520421828
09,04,64998.287,3.1093900415643203,9.202049818195375,4.1366050006895705
09,05,63839.428,3.267500036547298,9.17725121926233,9.946505575298204
09,06,61581.880,3.5133233641643655,9.807191329052582,23.17597186347952
09,07,63534.951,3.462725254487732,22.998583320976962,7.843086508530099
09,08,63133.297,2.064091419710337,10.15302690426997,8.76500691596949
09,09,64758.590,2.5189616564267867,9.490942357121714,15.850452669808863
09,10,66909.417,2.7148718117231794,12.114569501990553,16.352744512483426
09,11,64860.163,2.488125569969229,3.6760158594709114,4.36643009682568
09,12,63207.323,4.069607068473461,11.007797910807067,5.680595395216839
09,13,62225.333,2.3412872011199792,4.244092040169497,7.858431991346453
09,14,65978.566,2.214494421879607,17.887035533354034,17.109702077089196
09,15,62732.964,2.9461558561143386,7.9267897501511335,4.929036522215924
09,16,63734.670,3.140475097172893,19.508581779577277,3.510832779853417
09,17,61572.399,4.7815909220266555,23.94260686690335,24.32821324780537
09,18,62836.275,3.018826409588021,8.135708013709195,5.015089621455696
09,19,65082.193,5.041055104983123,12.87494788098508,22.540366582539374
09,20,63017.541,6.834801658645251,15.522028204011173,18.486993606639864
09,21,62099.545,4.8311256222010766,12.358701449121167,22.727172687336115
09,22,61387.052,3.879356189883462,13.541080228747509,41.751031802046825
09,23,62796.962,2.1875370666639498,41.109357175493074,21.342597058532434
09,24,63860.957,2.237366060501169,12.603265403672395,18.206252724671558
09,25,62513.884,4.217043008343843,7.606539919619497,11.393335995338184
09,26,62510.776,3.0158458450377243,10.323473559897158,11.441884071197899
09,27,64046.828,3.9927920485163986,41.014288212337334,3.1512784143650796
09,28,65788.557,4.0044335813322265,27.031687354522422,3.905412245102017
09,29,65962.261,2.4537299653627334,19.940151221975356,16.953498180905417
09,30,62441.154,7.302785810766994,13.570185340978668,7.490870269316006
10,49,3269.152,0.0199294736049076,0.3963950807435193,0.35408096986089993
10,58,3261.453,0.013607798523414991,2.2322533005722396,0.31966807090637295
10,62,3266.864,0.01416213108604805,0.32170336352594164,1.1029756988713733
10,112,3260.155,0.03037910935421888,0.31721686711118485,0.396286343047899
10,135,3262.357,0.0245192426780518,0.3541034418678031,0.34790656109932877
10,140,3263.424,0.023447906198070082,0.4173847666763295,0.29575650438663365
10,147,3265.934,0.024817474501375066,0.317629752399317,0.41534735810550844
10,150,3261.283,0.022445118384769095,0.3967143175614307,0.29990629564500226
10,173,3269.908,2.567551711513397,0.2852184720875203,2.910944939902762
10,196,3260.833,0.009727241738309014,0.31684907647315474,0.365424080062406
10,229,3265.404,0.020347524722947898,0.36319047817730077,0.3031777237527244
10,243,3269.352,0.018982949421225807,0.24431197331352117,0.36428846734894227
10,264,3262.240,0.02187194944167054,0.3450384004769708,0.281455470130468
10,333,3267.205,0.0206809884610407,0.42933429476290547,0.34988807452078524
10,357,3266.222,0.1932087433213646,0.4069763856589794,0.33989246224574576
10,360,3260.922,0.14359777384039973,0.25883807508334095,0.3482192159381669
10,402,3269.579,0.023944615153581848,0.3316303578824907,0.36847948970592026
10,410,3265.526,0.021430883384081917,0.4821795288604622,0.3719843878291575
10,442,3261.281,0.23438847936523263,0.35436782467194583,0.3257733615010611
10,528,3260.512,0.3472582485736091,0.4105713602361535,0.38572866459734295
10,548,3267.531,0.029514079541756288,0.4082542866279123,1.235904736168536
10,564,3263.044,0.030073668467086475,0.40539688463310525,1.6762648936299493
10,598,3265.932,0.028333994324742495,0.28112111994748556,0.3709186689192229
10,627,3265.415,0.030679592150085994,0.40724764408065306,1.8830902326992545
10,730,3269.313,0.014053865131340083,0.45665074289961,0.3587474795189198
10,742,3269.705,0.02996000516765535,0.3312651495147649,0.37364311054905697
10,761,3265.199,0.01999038689584145,0.42049134638504404,0.3818285070141525
10,855,3260.960,0.016632204861903983,0.38336171484494547,0.3064580166833494
10,861,3267.207,1.404239646580962,0.3024959019167304,0.4702771244928674
10,900,3268.920,0.13765120607530473,0.4427363864279345,0.28489835874048947
11,24,361.646,0.00318078189462004,0.0143591499795727,0.0137886591631383
11,116,350.549,0.00159883532464501,0.0130118208504508,0.0173392763675969
11,201,369.54,0.0015575798332683,0.0143921735304307,0.0135429940182704
11,216,346.513,0.00148110885277266,0.0163329186791732,0.014151552313521
11,230,342.037,0.00089099639128915,0.0132656889000044,0.0142145030613504
11,237,342.946,0.0015622329126096,0.0133009438905759,0.0142522796272855
11,354,317.12,0.00129714937861364,0.0117659232431975,0.0132730126120287
11,359,301.757,0.0012343084795734,0.0121372173152388,0.0146968111901375
11,367,320.473,0.00131086450811191,0.0128900089962007,0.015608357627286
11,409,348.367,0.00154489450746659,0.0131169735513962,0.0137098172487895
11,430,367.528,0.0033174942027288,0.0164668224904858,0.0138283402277305
11,655,375.307,0.00103646878109295,0.0140573292025199,0.0145061387846548
11,717,350.02,0.00192458605445281,0.0131128371290427,0.0123919356221268
11,765,341.936,0.00277455270724236,0.0138560086245032,0.0126366452516515
11,804,347.934,0.00096702511024863,0.0143366020099653,0.0149363662518461
11,1007,367.812,0.00212606222503595,0.0263110349694903,0.0243126817769124
11,1086,369.241,0.00156971146251334,0.0127542724766727,0.0141815512636258
11,1221,344.278,0.00124341514242152,0.0114148962265377,0.0136258820925432
11,1255,358.123,0.00215234096048736,0.013261242901942,0.0121991611861974
11,1262,363.476,0.000904302639139319,0.0109497774253587,0.0102315947168707
11,1306,355.629,0.00278425150772437,0.0136256391450415,0.0128723148212143
11,1324,340.463,0.000834974789609349,0.0102299619280492,0.0142009566079263
11,1387,365.848,0.000935920084877976,0.0142148400054021,0.0155797551463434
11,1468,345.121,0.00129347968812733,0.0141752113048947,0.0104273628055875
11,1627,345.516,0.00261335470402886,0.0122849964689288,0.0117358793903209
11,1655,346.339,0.00135695816730489,0.0131996859864695,0.0134087293474335
11,1690,351.292,0.00356590193354193,0.0107240497806457,0.0103479296203641
11,1725,353.556,0.000868502314060298,0.0117778814859503,0.0122945801708552
11,1734,351.357,0.00248428726902901,0.0139152451219777,0.0145947686218295
11,1775,359.433,0.00275328099219925,0.0137627026138787,0.0131055744844045
12,100,612.657,0.00107413590918885,0.0417257546696399,0.0407091603066321
12,145,613.166,0.00452483314053674,0.0451324312474561,0.0366839459543961
12,184,612.872,0.00234034537306489,0.0423424909436637,0.0425547051989659
12,260,619.528,0.00414463699675389,0.044305455127411,0.038539672906824
12,275,610.92,0.00221960920489263,0.0430997714262869,0.0449348655882868
12,424,619.332,0.00409814862370437,0.0436023107558734,0.03908848423369
12,439,610.117,0.00148111477027314,0.0455699735001161,0.0404390757092645
12,463,619.098,0.00136742793626967,0.0400979099481492,0.0408941478361228
