Consulta	Iteracion	Manager	Worker1	Worker2	Worker3
11	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
11	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
11	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
12	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
12	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
12	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
12	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
12	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
12	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
12	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
12	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
12	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
12	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
13	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
13	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
13	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
13	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
13	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
13	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
13	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
13	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
13	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
13	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
14	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
14	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
14	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
14	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
14	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
14	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
14	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
14	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
14	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
14	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
15	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
15	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
15	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
15	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
15	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
15	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
15	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
15	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
15	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
15	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
16	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
16	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
