Consulta	Iteracion	Manager	Worker1	Worker2	Worker3
7	9	8014891.694759436	59258693.29781354	28465460.730055775	35141953.92567903
7	10	7953787.056679944	58806911.64624193	28248443.24037302	34874035.59841845
7	11	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	12	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	13	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	14	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	15	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	16	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	17	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	18	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	19	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	20	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	21	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	22	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	23	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	24	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	25	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	26	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	27	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	28	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	29	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	30	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	1	7644869.164166955	56522904.40774102	27151299.264754634	33519559.610601082
8	2	7543028.100701135	55769934.988455	26789603.448616702	33073029.065166786
8	3	7332556.56953844	54213798.18859723	26042098.761931647	32150199.27126924
8	4	8021681.098990491	59308891.259099275	28489573.784464974	35171722.62870798
8	5	8435834.757084826	62370966.89752907	29960470.103425886	36987613.513474114
8	6	7549817.504932189	55820132.94974074	26813716.503025897	33102797.768195737
8	7	8011496.992643909	59233594.31717067	28453404.20285118	35127069.574164554
8	8	7661842.674744592	56648399.31095535	27211581.90077762	33593981.368173465
8	9	8014891.694759436	59258693.29781354	28465460.730055775	35141953.92567903
8	10	7953787.056679944	58806911.64624193	28248443.24037302	34874035.59841845
8	11	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	12	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	13	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	14	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	15	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	16	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	17	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	18	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	19	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	20	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	21	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	22	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	23	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	24	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	25	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	26	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	27	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	28	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	29	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
8	30	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
9	1	7644869.164166955	56522904.40774102	27151299.264754634	33519559.610601082
9	2	7543028.100701135	55769934.988455	26789603.448616702	33073029.065166786
9	3	7332556.56953844	54213798.18859723	26042098.761931647	32150199.27126924
9	4	8021681.098990491	59308891.259099275	28489573.784464974	35171722.62870798
9	5	8435834.757084826	62370966.89752907	29960470.103425886	36987613.513474114
9	6	7549817.504932189	55820132.94974074	26813716.503025897	33102797.768195737
9	7	8011496.992643909	59233594.31717067	28453404.20285118	35127069.574164554
9	8	7661842.674744592	56648399.31095535	27211581.90077762	33593981.368173465
9	9	8014891.694759436	59258693.29781354	28465460.730055775	35141953.92567903
9	10	7953787.056679944	58806911.64624193	28248443.24037302	34874035.59841845
9	11	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
9	12	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
9	13	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
9	14	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
